DEPMD__m,WOB_AVG__tf,DEPTVD__m,ROPA_AVG__m/h,TORQ_AVG__kLbf.ft,SURFRPM_AVG__rpm,MOTORRPM_AVG__rpm,BITRPM_AVG__rpm,SPP_AVG__Psi,CHKP_AVG__Psi,CEMENTP_AVG__Psi,SPM01_AVG__Stk/min,SPM02_AVG__Stk/min,SPM03_AVG__Stk/min,PITACTIVE_AVG__bbl,FLOWIN_AVG__gal/min,FLOWOUTP_AVG__%,DIN_AVG__ppg,TIN_AVG__C,DOUT_AVG__ppg,TOUT_AVG__C,HP__hp,DOC__in/rev,MSE__ksi,Comments__TOC/TOP,well,cluster
2719,1.47,2577.64,64.43,4.79,60,0,60.0,1135,0,0,83,82,0,214.843,708,26.38,11.69,39.946,11.69,36,54.72201066,0.704615048,9.090744845,TOC,,6
2720,1.46,2578.49,55.79,4.7,76,0,76.0,1133,0,0,83,83,0,214.858,710,25.79,11.69,39.958,11.69,36,68.01218583,0.481679099,13.02268984,TOC,,6
2721,1.46,2579.35,53.04,4.67,76,0,76.0,1134,0,0,83,83,0,214.765,708,25.8,11.69,39.967,11.69,36.1,67.5780655,0.457936179,13.60785003,TOC,,6
2722,1.46,2580.2,53.34,4.67,76,0,76.0,1134,0,0,83,82,0,214.76,707,25.84,11.69,39.956,11.69,36.2,67.5780655,0.460526316,13.53163975,TOC,,6
2723,1.45,2581.06,53.27,4.66,76,0,76.0,1135,0,0,83,82,0,214.864,707,26.94,11.69,39.916,11.69,36.3,67.43335872,0.459921951,13.52006031,TOC,,6
2724,1.44,2581.91,49.94,4.66,76,0,76.0,1135,0,0,83,82,0,214.748,708,26.78,11.69,39.94,11.69,36,67.43335872,0.431171433,14.4173646,TOC,,6
2725,1.45,2582.77,53.39,4.65,76,0,76.0,1136,0,0,83,82,0,214.641,707,26.76,11.69,39.982,11.69,35.7,67.28865194,0.460958005,13.46097599,TOC,,6
2726,1.45,2583.63,55.57,4.68,75,0,75.0,1119,0,0,83,83,0,216.491,708,25.31,11.69,39.997,11.69,35.8,66.83168317,0.486176728,12.84769527,TOC,,6
2727,1.45,2584.48,55.04,4.67,76,0,76.0,1110,0,0,83,83,0,229.865,708,26.08,11.7,40,11.69,36,67.5780655,0.475203757,13.11507908,TOC,,6
2728,1.44,2585.34,54.49,4.68,76,0,76.0,1170,0,0,83,82,0,236.187,707,27.22,11.69,40.011,11.69,36.9,67.72277228,0.470455173,13.27472767,TOC,,6
2729,1.45,2586.19,54.39,4.67,76,0,76.0,1192,0,0,83,82,0,235.832,708,26.57,11.69,40.045,11.69,37,67.5780655,0.469591794,13.27112941,TOC,,6
2730,1.45,2587.05,54.4,4.67,75,0,75.0,1140,0,0,83,82,0,235.61,708,26.48,11.69,40.058,11.69,37,66.68888043,0.475940507,13.09486575,TOC,,6
2731,1.46,2587.9,53.25,4.65,75,0,75.0,1146,0,0,83,82,0,235.615,708,26.18,11.69,40.045,11.69,37,66.40327494,0.465879265,13.31978247,TOC,,6
2732,1.94,2588.96,84.09,4.64,75,0,75.0,1147,0,0,83,83,0,235.544,709,26.96,11.69,40.052,11.69,37,66.2604722,0.735695538,8.456797952,TOC,,6
2739,0.99,2594.77,48.63,4.81,76,0,76.0,1169,0,0,80,87,0,231.988,714,27.52,11.69,40.354,11.69,37.5,69.6039604,0.419861169,15.26113601,TOC,,3
2740,0.98,2595.63,47.31,4.82,76,0,76.0,1168,0,0,80,87,0,232.098,713,26.06,11.69,40.375,11.69,37.6,69.74866717,0.408464567,15.7179819,TOC,,3
2741,0.97,2596.49,47.08,4.8,76,0,76.0,1169,0,0,80,87,0,232.015,715,27.29,11.69,40.407,11.69,37.6,69.45925362,0.406478795,15.72880787,TOC,,3
2742,0.98,2597.36,47.36,4.8,76,0,76.0,1170,0,0,80,87,0,232.022,715,27.29,11.69,40.414,11.69,37.6,69.45925362,0.408896256,15.63643805,TOC,,3
2743,0.97,2598.21,46.75,4.82,76,0,76.0,1169,0,0,80,87,0,232.008,715,26.7,11.69,40.44,11.69,37.8,69.74866717,0.403629645,15.90540289,TOC,,3
2744,0.97,2599.07,46.71,4.81,76,0,76.0,1169,0,0,80,87,0,231.983,715,27.09,11.69,40.457,11.69,37.8,69.6039604,0.403284293,15.88604317,TOC,,3
2745,0.97,2599.93,46.38,4.8,76,0,76.0,1169,0,0,80,87,0,231.901,716,26.83,11.69,40.478,11.69,37.8,69.45925362,0.400435143,15.96562004,TOC,,3
2746,0.97,2600.79,46.81,4.81,76,0,76.0,1168,0,0,80,87,0,232.067,714,27.43,11.69,40.49,11.69,37.8,69.6039604,0.404147672,15.85218772,TOC,,3
2747,0.97,2601.64,47.15,4.82,76,0,76.0,1169,0,0,80,87,0,231.773,714,27.12,11.69,40.499,11.69,37.9,69.74866717,0.407083161,15.7707934,TOC,,3
2748,0.97,2602.51,47.61,4.82,76,0,76.0,1170,0,0,80,87,0,231.828,715,26.26,11.69,40.494,11.69,38,69.74866717,0.411054704,15.61878873,TOC,,3
2749,0.97,2603.37,52.24,4.83,76,0,76.0,1172,0,0,80,87,0,231.663,715,26.35,11.69,40.494,11.69,38,69.89337395,0.451029148,14.26735994,TOC,,3
2750,0.97,2604.24,69.71,4.84,76,0,76.0,1172,0,0,80,87,0,231.715,715,26.8,11.69,40.509,11.69,38,70.03808073,0.601861445,10.72349929,TOC,,3
2751,0.97,2605.1,77.23,4.87,76,0,76.0,1174,0,0,80,87,0,231.719,715,27.83,11.69,40.531,11.69,38,70.47220107,0.66678754,9.74284806,TOC,,3
2752,0.96,2605.96,76.0,4.85,76,0,76.0,1174,0,0,80,87,0,231.689,715,26.98,11.69,40.558,11.69,38,70.18278751,0.656167979,9.859014022,TOC,,3
2753,0.96,2606.82,73.36,4.85,76,0,76.0,1173,0,0,80,87,0,231.612,713,24.78,11.69,40.572,11.69,38,70.18278751,0.633374776,10.21244506,TOC,,3
2754,0.96,2607.68,74.92,4.85,76,0,76.0,1173,0,0,80,87,0,231.626,714,27.23,11.69,40.563,11.69,38.1,70.18278751,0.646843487,10.00058886,TOC,,3
2755,0.96,2608.54,76.63,4.84,76,0,76.0,1174,0,0,80,87,0,231.759,713,26.69,11.69,40.576,11.69,38.2,70.03808073,0.661607266,9.758188383,TOC,,3
2756,0.95,2609.41,76.31,4.84,76,0,76.0,1174,0,0,80,87,0,231.585,714,25.61,11.69,40.584,11.69,38.1,70.03808073,0.658844454,9.798554638,TOC,,3
2757,0.95,2610.27,70.63,4.89,76,0,76.0,1174,0,0,80,87,0,231.521,715,25.61,11.69,40.564,11.69,38.1,70.76161462,0.609804531,10.69247447,TOC,,3
2758,0.95,2611.13,73.37,4.85,76,0,76.0,1174,0,0,80,87,0,231.44,713,27.1,11.69,40.57,11.69,38.2,70.18278751,0.633461113,10.21066337,TOC,,3
2759,0.95,2611.99,74.22,4.9,76,0,76.0,1175,0,0,80,87,0,231.624,714,26.5,11.69,40.591,11.69,38.2,70.9063214,0.640799834,10.19783273,TOC,,3
