     Depth,      ROP5,      STOR,      SWOB,       RPM,      CRPM,     STICK,      SPPA,      TFLO,      DHAP,     VIB_X,   VIB_LAT,    SHKRSK,      SHKL,    P40H#1,      GR#1,       MSE,       DOC
         m,       m/h,      kN.m,      1000,     c/min,     c/min,     c/min,       psi,   gal/min,       psi,        gn,        gn,          ,          ,     ohm.m,      gAPI,       ksi,    in/rev
    1038.0,   87.6203,   4.25608,  0.469273,        57,   -999.25,   -999.25,    1909.2,   910.584,      1634,   -999.25,   -999.25,   -999.25,   -999.25,  0.416907,   21.7416,   3.90543,   1.00866
    1038.1,   87.6784,   4.78562,  0.155821,        57,   -999.25,   -999.25,   1907.78,    910.58,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   22.2115,   4.38689,   1.00933
    1038.3,   88.2472,   4.51487,   1.36548,        57,   -999.25,   -999.25,   1895.13,    910.58,      1633,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   22.2115,    4.1171,   1.01588
    1038.5,   86.1683,   4.82646,   0.51733,        57,   -999.25,   -999.25,    1893.1,    904.71,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   21.3935,   4.50335,  0.991945
    1038.6,   84.6669,   3.53869,    0.9444,        57,   -999.25,   -999.25,    1870.1,   904.705,      1635,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   20.5749,   3.36266,  0.974662
    1038.8,   82.5586,   4.21605,  0.933209,        57,   -999.25,   -999.25,   1885.57,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,         0,   0.40129,    19.757,   4.10772,  0.950392
    1038.9,   83.9339,    4.4742,   2.34519,        57,   -999.25,   -999.25,   1895.16,   892.956,      1635,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   18.9384,   4.29352,  0.966223
    1039.1,   81.5314,   2.60467,   1.01989,        57,        58,        27,   1894.16,   910.565,   -999.25,   -999.25,   -999.25,         0,   -999.25,   0.40129,   18.1205,   2.57153,  0.938567
    1039.2,   80.1599,   3.66071,    1.0121,        57,   -999.25,   -999.25,   1904.01,   904.705,      1635,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   23.6676,   3.67412,  0.922778
    1039.4,   78.0904,   4.85287,   2.41843,        57,   -999.25,   -999.25,    1921.7,   904.705,      1634,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   25.1687,   5.00406,  0.898954
    1039.5,   76.2984,   2.49471,   0.30929,        57,   -999.25,   -999.25,    1893.1,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   25.5563,   2.62884,  0.878326
    1039.7,   74.5607,    2.2644,  0.101976,        57,   -999.25,   -999.25,   1871.81,   910.575,      1635,   0.12492,   0.74949,   -999.25,         0,  0.419515,   25.9436,   2.44099,  0.858322
    1039.8,   72.8295,   2.04746,  0.469845,        57,   -999.25,   -999.25,   1866.21,    904.71,      1635,   -999.25,   -999.25,   -999.25,   -999.25,  0.425879,   26.3309,   2.26116,  0.838393
    1040.0,   73.7761,   1.93882,   1.17348,        57,   -999.25,   -999.25,   1885.71,    898.83,      1635,   -999.25,   -999.25,   -999.25,   -999.25,  0.432247,   26.7185,   2.11676,   0.84929
    1040.1,   75.0331,   8.18414,   1.79367,        57,   -999.25,   -999.25,   1914.42,    892.96,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.43861,   18.1274,   8.77277,   0.86376
    1040.3,   74.7339,   2.92857,   0.67615,        57,   -999.25,   -999.25,   1892.04,    910.58,      1636,   -999.25,   -999.25,   -999.25,         0,    0.4386,   22.2115,    3.1519,  0.860316
