     Depth,      DCAV,    UCS-CA,    UCS-BD,        GR,      P40H,      WOBA,      RPMS,       TQA,      ROPA,       DOC,       MSE
         m,        in,       psi,       psi,      gapi,     ohm.m,      klbm,     1/min,   klbf.ft,       m/h,    in/rev,       ksi
    5237.0,   8.53617,   3995.44,   13479.6,   34.0779,    155.02,     28.76,        90,      14.8,      2.86, 0.0209064,   943.097
    5238.0,   8.52128,   3449.76,   12354.4,   24.9451,   149.976,     29.12,        90,     15.24,      4.17, 0.0304825,   666.054
    5239.0,    8.5497,   3809.91,   13759.3,   23.8595,   148.455,     26.87,        90,      15.6,      4.56, 0.0333333,   623.477
    5240.0,   8.54426,   3943.44,   13178.2,     23.44,   147.985,     26.67,        89,     15.24,      5.12, 0.0374269,    542.47
    5241.0,   8.59869,   4205.67,   14641.9,   23.4063,   150.016,     32.65,        90,     14.82,      2.98, 0.0217836,   906.343
    5242.0,   8.60037,   4320.87,   13664.2,   21.7192,   151.805,     31.33,        90,     15.94,      3.85, 0.0281433,   754.551
    5243.0,   8.56556,   3839.56,   12827.4,   22.1478,   145.539,     31.09,        89,     15.83,      4.06, 0.0300118,   702.689
    5244.0,   8.56499,   4022.33,     15866,   25.1839,   148.208,     26.93,        90,     16.13,      4.81, 0.0351608,   611.153
    5245.0,      8.52,   3670.83,     14626,   38.0369,   143.412,     32.62,        90,     16.02,      6.16, 0.0450292,   473.961
    5246.0,    8.5308,   3915.78,   13943.7,   39.8736,   141.422,     25.04,        90,     15.76,       5.6,  0.041866,   501.498
    5247.0,   8.53385,   3749.77,   12607.8,    26.797,   143.999,     25.35,        90,     15.86,      4.66, 0.0344471,   613.374
    5248.0,   8.59878,   3530.42,   12319.7,   23.8078,   139.473,     24.49,        90,     16.69,      6.03, 0.0440789,   504.429
    5249.0,   8.55813,   3843.91,   12098.5,   24.1825,   139.035,     29.15,        90,     15.98,       4.7, 0.0347428,   612.756
    5250.0,    8.5637,    3828.7,   12311.3,    24.724,   134.805,     25.29,        90,     15.26,      3.55, 0.0262419,   774.702
    5251.0,   8.52949,   3329.94,   13350.7,   25.4669,   129.837,     26.51,        91,     15.44,      2.35, 0.0168049,   1224.01
    5252.0,   8.55835,   3893.44,     15168,   23.7862,   126.582,      29.8,        91,     15.85,      3.73, 0.0272661,   774.428
    5253.0,   8.53372,    4024.9,   13281.2,   24.7369,   119.854,     29.65,        91,      16.2,      4.83, 0.0345395,   624.848
    5254.0,   8.57176,   3896.46,   14650.3,   26.8213,   115.344,      31.6,        91,     15.57,       4.1, 0.0293192,   707.475
    5255.0,   8.57119,   3617.66,   15329.5,   31.0496,   113.236,      28.1,        91,     16.38,      4.64, 0.0335454,   650.513
    5256.0,   8.54126,   3343.94,   14041.3,   32.5643,   108.986,      28.7,        91,     15.48,      3.54, 0.0258772,   796.945
    5257.0,   8.53078,   3798.44,   13384.7,   29.4667,   110.588,     28.33,        91,     15.83,      5.65, 0.0408473,   516.288
    5258.0,   8.57139,   -999.25,   14091.1,   27.4287,   107.569,     23.06,        91,     15.42,      4.93,  0.036038,   570.031
    5259.0,   8.54942,   4160.74,   13242.9,   28.3556,   122.048,     24.64,        91,     15.82,       6.3, 0.0455466,   462.728
    5260.0,   8.55395,   4771.29,   15664.7,   41.3192,   170.916,     25.39,        91,     15.39,      5.46, 0.0394737,   519.404
    5261.0,   8.62066,   3307.07,   25062.4,   89.7231,   63.6573,     29.22,        91,      16.5,      5.38, 0.0388953,   565.147
    5262.0,   8.60892,   2941.26,   10470.7,    83.396,   126.599,     28.17,        91,     16.27,      7.15, 0.0511299,   423.924
    5263.0,   8.40172,   4726.84,   12210.4,   50.0517,   266.433,     30.58,        91,     14.93,      4.15, 0.0300029,   662.936
    5264.0,   8.57526,   4074.72,   12819.9,   24.2963,   178.749,     32.44,        91,     15.83,      3.46, 0.0250145,   843.072
    5265.0,   8.53929,   3669.94,   12184.7,   20.4075,    140.93,      30.9,        91,     16.43,      3.71, 0.0268219,   816.062
    5266.0,   8.53067,   3751.47,   11530.7,   18.7156,   120.946,     27.18,        91,     17.05,      3.99, 0.0285326,   796.082
    5267.0,   8.55562,   3501.65,   13489.5,   18.6112,   114.461,     27.49,        91,     16.79,      3.91, 0.0282678,   791.286
    5268.0,   8.53453,    3447.1,   13746.9,   18.9039,   111.412,     23.65,        91,     16.61,      3.99, 0.0288462,   767.108
    5269.0,   8.55211,   3976.69,   14044.6,   20.0967,   112.179,     28.62,        91,     16.85,      4.22,  0.030509,   735.779
    5270.0,   8.54551,    4518.7,   13968.3,   19.4049,   113.092,      30.6,        91,     16.65,      3.37, 0.0243638,   910.425
    5271.0,   8.54852,   4158.28,   13651.6,   24.2042,    112.51,     31.03,        91,     16.72,      4.28, 0.0312866,   711.956
    5272.0,   8.54446,   4792.54,   14601.1,   25.6238,   114.397,     27.45,        91,     16.03,       4.2, 0.0303644,   703.305
    5273.0,   8.52317,   5452.03,   17358.9,   24.7127,   121.776,     20.68,        91,     15.71,      4.23, 0.0309211,   676.857
    5274.0,   8.51916,   3989.73,   19154.1,   31.3818,   143.295,     20.56,        91,     15.72,      4.05, 0.0292799,   715.249
