MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5315.8,4.8,1.7,3.4,2.8,0.0045899999999999995,263.065,4.60238688,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.006984096452714475,4246.723764705883,2872.73481420971,0,11.912269553328606
5316.0,5.0,1.8,5.3,2.78,0.004529249999999999,263.065,4.52863068,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.006934210049480799,4234.7149925484355,2847.033236637366,0,11.912269553328606
5316.2,5.2,1.9,5.4,2.75,0.0069615,180.418,3.7173124800000004,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.010001568117741392,2261.568868778281,1620.2810559574625,0,11.912269553328606
5316.4,5.4,2.0,4.0,2.76,0.00475875,267.065,4.46962572,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.006781212813360043,3977.9731063829786,2873.337046865082,0,11.912269553328606
5316.6,5.6,2.0,1.6,2.82,0.0040545,268.065,4.417996380000001,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.006902783653218435,4614.999156492787,2790.1231704235033,0,11.912269553328606
5316.8,5.8,2.1,4.6,2.82,0.007011,267.065,4.76465052,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.006928630483215696,2878.2907317073173,2997.8378885802176,0,11.912269553328606
5317.0,6.0,2.1,4.0,2.82,0.006372,267.065,4.6097625,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.006928630483215696,3063.983050847458,2900.382590581298,0,11.912269553328606
5317.2,6.2,2.2,3.1,2.85,0.00682875,267.065,4.6097625,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.007002339318143523,2859.0444810543663,2869.8552592323194,0,11.912269553328606
5317.4,6.4,2.2,3.5,2.86,0.00766575,267.065,4.71302118,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.007026908929786132,2603.9240622248312,2923.884859410109,0,11.912269553328606
5317.6,6.6,2.3,4.1,2.86,0.0072517499999999995,267.065,4.63926498,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.007026908929786132,2709.504834005585,2878.125972314912,0,11.912269553328606
5317.8,6.8,2.4,4.3,2.86,0.00793575,267.065,4.74252366,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.007026908929786132,2531.075520272186,2942.1890144930976,0,11.912269553328606
5318.0,7.0,2.5,4.7,2.85,0.006723,267.065,4.6097625,72.39004652,21.78288014,0.008687188,5.818386154,8.5,0.007002339318143523,2904.016064257028,2869.8546512256216,0,11.912269553328606
5318.2,7.2,2.5,3.2,2.87,0.00615825,268.065,4.52863068,72.39004652,21.78288014,0.008687188,5.818386154,8.5,0.00702517343430387,3114.5346291560104,2810.1789701105777,0,11.912269553328606
5318.4,7.4,2.6,4.7,2.86,0.0076005,268.065,4.58026002,72.39004652,21.78288014,0.008687188,5.818386154,8.5,0.007000695478086782,2552.2989698046176,2852.16242553421,0,11.912269553328606
5318.6,7.6,2.7,6.6,2.82,0.00712575,268.065,4.4622501,72.39004652,21.78288014,0.008687188,5.818386154,8.5,0.006902783653218435,2652.203852226082,2818.0884063787244,0,11.912269553328606
5318.8,7.8,2.7,2.9,2.84,0.007551,268.065,4.47700134,72.39004652,21.78288014,0.008687188,5.818386154,8.5,0.006951739565652609,2511.113420738975,2807.4957015085647,0,11.912269553328606
5319.0,8.0,2.8,4.5,2.84,0.00804375,267.065,4.705645560000001,68.90759277,24.84643764,0.184008481,6.061961106,8.5,0.006977769706500914,2477.674338461539,2939.8695872033036,0,11.912269553328606
5319.2,8.2,2.9,4.6,2.83,0.0069187499999999996,267.065,4.61713812,68.90759277,24.84643764,0.184008481,6.061961106,8.5,0.006953200094858306,2826.368624390244,2894.7613176385985,0,11.912269553328606
5319.4,8.4,2.9,3.2,2.85,0.007220250000000001,267.065,4.63926498,68.90759277,24.84643764,0.184008481,6.061961106,8.5,0.007002339318143523,2721.325671548769,2888.224332534881,0,11.912269553328606
5319.6,8.6,3.0,4.0,2.85,0.007542,268.065,4.6466406000000005,68.90759277,24.84643764,0.184008481,6.061961106,8.5,0.006976217521869696,2609.372792362769,2903.649612605681,0,11.912269553328606
5319.8,8.8,3.1,3.2,2.87,0.0080685,267.065,4.65401622,68.90759277,24.84643764,0.184008481,6.061961106,8.5,0.007051478541428741,2442.97298382599,2877.221915273648,0,11.912269553328606
5320.0,9.0,3.2,5.1,2.86,0.008192249999999998,267.065,4.690894320000001,65.52869612,25.43286572,0.09192924,8.946508916,8.5,0.007026908929786132,2425.1356001098607,2910.1609344631884,0,11.912269553328606
5320.2,9.2,3.3,6.4,2.82,0.00721575,268.065,4.4474988600000005,65.52869612,25.43286572,0.09192924,8.946508916,8.5,0.006902783653218435,2610.465406922358,2808.773064535113,0,11.912269553328606
5320.4,9.4,3.4,7.5,2.78,0.0032332499999999996,186.58,2.5962182400000002,65.52869612,25.43286572,0.09192924,8.946508916,8.5,0.009776760460213668,3400.8344050104392,1157.6355351646603,0,11.912269553328606
5320.6,9.6,3.5,4.5,2.78,0.0051389999999999995,268.065,4.43274762,65.52869612,25.43286572,0.09192924,8.946508916,8.5,0.006804871828350089,3653.237968476357,2839.7246278782395,0,11.912269553328606
5320.8,9.8,3.5,4.6,2.77,0.006875999999999999,267.065,4.61713812,65.52869612,25.43286572,0.09192924,8.946508916,8.5,0.006805782425002653,2843.9409424083774,2957.462621418556,0,11.912269553328606
