DEPREAMMD	DEPREAMTVD	ROPA_AVG	WOB_AVG	TORQ_AVG	SURFRPM_AVG	MOTORRPM_AVG	BITRPM_AVG	SPP_AVG	CHKP_AVG	CEMENTP_AVG	SPM01_AVG	SPM02_AVG	SPM03_AVG	PITACTIVE_AVG	FLOWIN_AVG	FLOWOUTP_AVG	DIN_AVG	TIN_AVG	DOUT_AVG	TOUT_AVG
m	m	m/h	kLbf	kLbf.ft	rpm	rpm	rpm	Psi	Psi	Psi	Stk/min	Stk/min	Stk/min	bbl	gal/min	%	ppg	°C	ppg	°C
763.25	763.23	20.71	2.24	1	59	0	59.1	937	0	0	69	72	0	238.04	705	3.46	11.01	33.914	8.6	38.8
763.5	763.49	20.79	2.25	1	59	0	59	909	0	0	69	72	0	234.689	706	3.16	11.01	33.915	8.6	37.6
763.75	763.73	20.16	2.25	1	59	0	59	968	0	0	69	72	0	236.312	707	3.32	11.02	33.917	8.6	37.3
764	763.98	19.87	2.3	1	59	0	58.9	1055	0	0	69	72	0	239.914	704	3.15	11.02	33.915	8.6	37.4
764.25	764.23	20.09	2.37	1	59	0	59	1073	0	0	69	71	0	244.151	701	3.73	11.01	33.917	8.6	37.4
764.5	764.48	19.26	2.41	1	59	0	59	1022	0	0	69	71	0	248.066	700	3.23	11.02	33.917	8.6	37.4
764.75	764.73	19.44	2.46	1	59	0	59	1012	0	0	69	71	0	252.08	703	2.68	11.02	33.919	8.6	37.5
765	764.98	18.45	2.54	1	59	0	58.9	1002	0	0	69	71	0	256.464	701	3.01	11.02	33.922	8.6	37.4
765.25	765.23	18.68	2.61	1	59	0	58.9	975	0	0	69	72	0	267.034	705	3.67	11.02	33.924	8.6	38
765.5	765.48	18.63	2.57	1	59	0	59	968	0	0	69	72	0	278.617	704	3.47	11.02	33.921	8.6	38.5
765.75	765.73	19.45	2.49	1	59	0	58.9	946	0	0	69	72	0	280.631	706	3.64	11.02	33.918	8.59	37.8
766	765.98	18.27	2.47	1	59	0	58.9	935	0	0	69	72	0	278.219	706	3.59	11.01	33.924	8.6	37.5
766.25	766.23	18.48	2.08	1	59	0	58.9	1009	0	0	69	72	0	268.859	706	2.63	11.02	33.927	8.6	37.5
766.5	766.48	6.33	6.43	3	51	0	50.6	819	0	0	65	65	0	260.94	653	2.84	11.02	33.925	8.6	37.3
766.75	766.73	5.56	8.11	2	48	0	48	627	0	0	54	58	0	263.297	558	2.68	11.02	33.928	8.6	37
767	766.98	7.35	8.24	2	48	0	48	612	0	0	54	57	0	262.903	556	2.54	11.02	33.928	8.6	36.5
767.25	767.23	12.75	7.72	1	48	0	48	607	0	0	54	57	0	257.78	555	2.65	11.02	33.929	8.6	36.3
767.5	767.49	18.16	7.48	2	48	0	48	602	0	0	54	57	0	254.597	556	2.97	11.02	33.928	8.6	36.4
767.75	767.73	16.56	7.42	1	56	0	56	829	0	0	57	61	0	253.281	589	2.92	11.02	33.93	8.6	36.7
768	767.98	12.29	7.26	2	59	0	58.6	935	0	0	68	71	0	256.43	694	2.59	11.02	33.93	8.6	37.2
768.25	768.23	12.63	7.24	2	59	0	59.1	935	0	0	69	72	0	264.536	703	2.77	11.02	33.935	8.6	38
768.5	768.48	14.51	7.51	1	59	0	58.6	920	0	0	69	72	0	271.773	705	3.2	11.02	33.931	8.6	37.3
768.75	768.73	16.66	7.49	2	59	0	58.8	990	0	0	69	72	0	276.363	703	3.37	11.02	33.932	8.6	37.3
769	768.99	17.42	7.58	2	58	0	58.4	1008	0	0	69	71	0	279.092	701	3.21	11.02	33.932	8.61	37.3
769.25	769.23	17.95	7.34	2	58	0	58.4	986	0	0	69	71	0	277.386	701	2.84	11.02	33.94	8.6	37.3
