BITRPM_AVG__rpm,Comments__TOC/TOP,DOUT_AVG__ppg,SURFRPM_AVG__rpm,FLOWIN_AVG__gal/min,SPP_AVG__Psi,MSE__ksi,SPM02_AVG__Stk/min,well,DIN_AVG__ppg,FLOWOUTP_AVG__%,TIN_AVG__C,WOB_AVG__tf,TOUT_AVG__C,SPM01_AVG__Stk/min,ROPA_AVG__m/h,CEMENTP_AVG__Psi,DOC__in/rev,DEPTVD__m,CHKP_AVG__Psi,PITACTIVE_AVG__bbl,MOTORRPM_AVG__rpm,HP__hp,SPM03_AVG__Stk/min,TORQ_AVG__kLbf.ft,DEPMD__ft
48,TOC,11.69,48,708,1132,10.14231202,82,G7,11.69,26.53,39.666,1.43,35.4,83,45.68,0,0.624453193,2560.59,0,215.649,0,43.32063976,0,4.74,2699
48,TOC,11.7,48,708,1131,11.12722843,83,G7,11.69,26.18,39.664,1.45,35.4,83,41.18,0,0.562937445,2561.45,0,215.595,0,42.86367098,0,4.69,2700
48,TOC,11.69,48,710,1132,11.70265291,83,G7,11.69,26.98,39.64,1.46,35.4,83,39.23,0,0.536280621,2562.29,0,215.195,0,42.95506474,0,4.7,2701
48,TOC,11.69,48,709,1132,10.8968847,83,G7,11.69,26.06,39.631,1.48,35.3,83,41.97,0,0.573736877,2563.14,0,215.158,0,42.77227723,0,4.68,2702
48,TOC,11.69,48,710,1132,8.139272026,83,G7,11.69,26.97,39.648,1.5,35.4,83,57.14,0,0.781113298,2563.99,0,215.177,0,43.41203351,0,4.75,2703
48,TOC,11.69,48,709,1134,7.132584009,83,G7,11.69,27.26,39.667,1.5,35.5,83,64.86,0,0.886646982,2564.84,0,214.776,0,43.13785225,0,4.72,2704
48,TOC,11.69,48,710,1136,7.025086166,83,G7,11.69,26.17,39.687,1.5,35.5,83,66.14,0,0.904144794,2565.69,0,215.165,0,43.32063976,0,4.74,2705
48,TOC,11.69,48,709,1134,7.072749765,83,G7,11.69,26.78,39.696,1.51,35.6,83,66.11,0,0.903734689,2566.56,0,214.895,0,43.59482102,0,4.77,2706
48,TOC,11.69,48,710,1134,7.337280423,83,G7,11.69,26.56,39.707,1.5,35.6,83,63.57,0,0.869012467,2567.4,0,215.1,0,43.50342727,0,4.76,2707
48,TOC,11.69,48,709,1134,7.343009357,83,G7,11.69,25.8,39.724,1.5,35.7,83,63.52,0,0.868328959,2568.24,0,214.97,0,43.50342727,0,4.76,2708
48,TOC,11.69,48,708,1133,7.40042727,82,G7,11.69,26.72,39.744,1.5,35.7,83,63.95,0,0.87420713,2569.11,0,214.957,0,44.14318355,0,4.83,2709
48,TOC,11.69,48,709,1134,6.943499373,83,G7,11.69,26.99,39.787,1.49,35.8,83,66.92,0,0.914807524,2569.96,0,214.778,0,43.32063976,0,4.74,2710
48,TOC,11.69,48,709,1134,6.850756973,83,G7,11.69,29.08,39.808,1.49,35.7,83,68.12,0,0.931211724,2570.81,0,214.509,0,43.50342727,0,4.76,2711
48,TOC,11.69,48,709,1135,7.097067672,83,G7,11.69,27.34,39.822,1.48,35.7,83,65.18,0,0.891021435,2571.66,0,215.04,0,43.13785225,0,4.72,2712
48,TOC,11.69,48,709,1135,7.591884707,83,G7,11.69,26.44,39.852,1.48,35.8,83,62.06,0,0.848370516,2572.51,0,214.475,0,43.96039604,0,4.81,2713
48,TOC,11.69,48,710,1135,7.132557812,83,G7,11.69,25.45,39.875,1.48,35.8,83,65.54,0,0.895942695,2573.37,0,214.422,0,43.59482102,0,4.77,2714
48,TOC,11.69,48,709,1135,7.102896992,83,G7,11.69,25.9,39.9,1.48,35.9,83,65.54,0,0.895942695,2574.23,0,214.735,0,43.41203351,0,4.75,2715
48,TOC,11.69,48,710,1135,7.18624795,83,G7,11.69,26.9,39.917,1.47,35.9,83,64.77,0,0.885416667,2575.07,0,214.868,0,43.41203351,0,4.75,2716
47,TOC,11.69,47,709,1135,6.498674584,83,G7,11.69,25.73,39.908,1.47,35.9,83,70.93,0,0.990255207,2575.93,0,214.878,0,42.95506474,0,4.8,2717
48,TOC,11.69,48,709,1139,6.536651582,83,G7,11.69,25.47,39.925,1.46,36,83,71.11,0,0.972085521,2576.78,0,214.692,0,43.32063976,0,4.74,2718
60,TOC,11.69,60,708,1135,9.090744845,82,G7,11.69,26.38,39.946,1.47,36,83,64.43,0,0.704615048,2577.64,0,214.843,0,54.72201066,0,4.79,2719
76,TOC,11.69,76,710,1133,13.02268984,83,G7,11.69,25.79,39.958,1.46,36,83,55.79,0,0.481679099,2578.49,0,214.858,0,68.01218583,0,4.7,2720
76,TOC,11.69,76,708,1134,13.60785003,83,G7,11.69,25.8,39.967,1.46,36.1,83,53.04,0,0.457936179,2579.35,0,214.765,0,67.5780655,0,4.67,2721
76,TOC,11.69,76,707,1134,13.53163975,82,G7,11.69,25.84,39.956,1.46,36.2,83,53.34,0,0.460526316,2580.2,0,214.76,0,67.5780655,0,4.67,2722
76,TOC,11.69,76,707,1135,13.52006031,82,G7,11.69,26.94,39.916,1.45,36.3,83,53.27,0,0.459921951,2581.06,0,214.864,0,67.43335872,0,4.66,2723
76,TOC,11.69,76,708,1135,14.4173646,82,G7,11.69,26.78,39.94,1.44,36,83,49.94,0,0.431171433,2581.91,0,214.748,0,67.43335872,0,4.66,2724
76,TOC,11.69,76,707,1136,13.46097599,82,G7,11.69,26.76,39.982,1.45,35.7,83,53.39,0,0.460958005,2582.77,0,214.641,0,67.28865194,0,4.65,2725
75,TOC,11.69,75,708,1119,12.84769527,83,G7,11.69,25.31,39.997,1.45,35.8,83,55.57,0,0.486176728,2583.63,0,216.491,0,66.83168317,0,4.68,2726
76,TOC,11.69,76,708,1110,13.11507908,83,G7,11.7,26.08,40,1.45,36,83,55.04,0,0.475203757,2584.48,0,229.865,0,67.5780655,0,4.67,2727
76,TOC,11.69,76,707,1170,13.27472767,82,G7,11.69,27.22,40.011,1.44,36.9,83,54.49,0,0.470455173,2585.34,0,236.187,0,67.72277228,0,4.68,2728
76,TOC,11.69,76,708,1192,13.27112941,82,G7,11.69,26.57,40.045,1.45,37,83,54.39,0,0.469591794,2586.19,0,235.832,0,67.5780655,0,4.67,2729
75,TOC,11.69,75,708,1140,13.09486575,82,G7,11.69,26.48,40.058,1.45,37,83,54.4,0,0.475940507,2587.05,0,235.61,0,66.68888043,0,4.67,2730
75,TOC,11.69,75,708,1146,13.31978247,82,G7,11.69,26.18,40.045,1.46,37,83,53.25,0,0.465879265,2587.9,0,235.615,0,66.40327494,0,4.65,2731
75,TOC,11.69,75,709,1147,8.456797952,83,G7,11.69,26.96,40.052,1.94,37,83,84.09,0,0.735695538,2588.96,0,235.544,0,66.2604722,0,4.64,2732
25,TOC,11.56,25,701,1160,0.041464289,82,G7,11.69,26.9,40.231,0.14,37.2,82,2282.21,0,59.90052493,2589.73,0,233.915,0,7.711348058,0,1.62,2733
0,TOC,11.69,0,707,1126,0.078594759,82,G7,11.69,27.92,40.315,1.99,37.3,83,382.1,0,#DIV/0!,2590.52,0,233.751,0,0,0,0.15,2734
0,TOC,11.69,0,663,525,0.081359399,78,G7,11.69,25.93,40.316,2.06,37.3,77,307.13,0,#DIV/0!,2591.42,0,233.767,0,0,0,0.15,2735
0,TOC,11.69,0,562,15,0.084124039,66,G7,11.69,18.34,40.316,2.13,37.4,65,835.12,0,#DIV/0!,2592.33,0,236.777,0,0,0,0.14,2736
0,TOC,11.69,0,334,10,0.083334141,58,G7,11.69,9.63,40.319,2.11,37.5,20,307.57,0,#DIV/0!,2593.14,0,237.873,0,0,0,0.14,2737
7,TOC,11.69,7,107,108,0.666695583,18,G7,11.69,5.14,40.324,13.02,37.5,7,54.85,0,5.141544807,2593.91,0,243.843,0,0.786367098,0,0.59,2738
76,TOC,11.69,76,714,1169,15.26113601,87,G7,11.69,27.52,40.354,0.99,37.5,80,48.63,0,0.419861169,2594.77,0,231.988,0,69.6039604,0,4.81,2739
76,TOC,11.69,76,713,1168,15.7179819,87,G7,11.69,26.06,40.375,0.98,37.6,80,47.31,0,0.408464567,2595.63,0,232.098,0,69.74866717,0,4.82,2740
76,TOC,11.69,76,715,1169,15.72880787,87,G7,11.69,27.29,40.407,0.97,37.6,80,47.08,0,0.406478795,2596.49,0,232.015,0,69.45925362,0,4.8,2741
76,TOC,11.69,76,715,1170,15.63643805,87,G7,11.69,27.29,40.414,0.98,37.6,80,47.36,0,0.408896256,2597.36,0,232.022,0,69.45925362,0,4.8,2742
76,TOC,11.69,76,715,1169,15.90540289,87,G7,11.69,26.7,40.44,0.97,37.8,80,46.75,0,0.403629645,2598.21,0,232.008,0,69.74866717,0,4.82,2743
76,TOC,11.69,76,715,1169,15.88604317,87,G7,11.69,27.09,40.457,0.97,37.8,80,46.71,0,0.403284293,2599.07,0,231.983,0,69.6039604,0,4.81,2744
76,TOC,11.69,76,716,1169,15.96562004,87,G7,11.69,26.83,40.478,0.97,37.8,80,46.38,0,0.400435143,2599.93,0,231.901,0,69.45925362,0,4.8,2745
76,TOC,11.69,76,714,1168,15.85218772,87,G7,11.69,27.43,40.49,0.97,37.8,80,46.81,0,0.404147672,2600.79,0,232.067,0,69.6039604,0,4.81,2746
76,TOC,11.69,76,714,1169,15.7707934,87,G7,11.69,27.12,40.499,0.97,37.9,80,47.15,0,0.407083161,2601.64,0,231.773,0,69.74866717,0,4.82,2747
76,TOC,11.69,76,715,1170,15.61878873,87,G7,11.69,26.26,40.494,0.97,38,80,47.61,0,0.411054704,2602.51,0,231.828,0,69.74866717,0,4.82,2748
76,TOC,11.69,76,715,1172,14.26735994,87,G7,11.69,26.35,40.494,0.97,38,80,52.24,0,0.451029148,2603.37,0,231.663,0,69.89337395,0,4.83,2749
76,TOC,11.69,76,715,1172,10.72349929,87,G7,11.69,26.8,40.509,0.97,38,80,69.71,0,0.601861445,2604.24,0,231.715,0,70.03808073,0,4.84,2750
76,TOC,11.69,76,715,1174,9.74284806,87,G7,11.69,27.83,40.531,0.97,38,80,77.23,0,0.66678754,2605.1,0,231.719,0,70.47220107,0,4.87,2751
76,TOC,11.69,76,715,1174,9.859014022,87,G7,11.69,26.98,40.558,0.96,38,80,76,0,0.656167979,2605.96,0,231.689,0,70.18278751,0,4.85,2752
76,TOC,11.69,76,713,1173,10.21244506,87,G7,11.69,24.78,40.572,0.96,38,80,73.36,0,0.633374776,2606.82,0,231.612,0,70.18278751,0,4.85,2753
76,TOC,11.69,76,714,1173,10.00058886,87,G7,11.69,27.23,40.563,0.96,38.1,80,74.92,0,0.646843487,2607.68,0,231.626,0,70.18278751,0,4.85,2754
76,TOC,11.69,76,713,1174,9.758188383,87,G7,11.69,26.69,40.576,0.96,38.2,80,76.63,0,0.661607266,2608.54,0,231.759,0,70.03808073,0,4.84,2755
76,TOC,11.69,76,714,1174,9.798554638,87,G7,11.69,25.61,40.584,0.95,38.1,80,76.31,0,0.658844454,2609.41,0,231.585,0,70.03808073,0,4.84,2756
76,TOC,11.69,76,715,1174,10.69247447,87,G7,11.69,25.61,40.564,0.95,38.1,80,70.63,0,0.609804531,2610.27,0,231.521,0,70.76161462,0,4.89,2757
76,TOC,11.69,76,713,1174,10.21066337,87,G7,11.69,27.1,40.57,0.95,38.2,80,73.37,0,0.633461113,2611.13,0,231.44,0,70.18278751,0,4.85,2758
76,TOC,11.69,76,714,1175,10.19783273,87,G7,11.69,26.5,40.591,0.95,38.2,80,74.22,0,0.640799834,2611.99,0,231.624,0,70.9063214,0,4.9,2759
76,TOC,11.69,76,713,1176,10.33393429,87,G7,11.69,25.62,40.606,0.95,38.2,80,72.94,0,0.629748584,2612.85,0,231.489,0,70.61690784,0,4.88,2760
76,TOC,11.69,76,715,1176,10.58643273,87,G7,11.69,25.84,40.604,0.95,38.3,80,71.34,0,0.615934521,2613.72,0,231.548,0,70.76161462,0,4.89,2761
76,TOC,11.69,76,716,1177,10.37321724,87,G7,11.69,27.36,40.602,0.94,38.3,80,72.66,0,0.627331123,2614.58,0,231.32,0,70.61690784,0,4.88,2762
76,TOC,11.69,76,713,1177,10.13343491,87,G7,11.69,26.78,40.618,0.93,38.2,80,74.84,0,0.646152784,2615.45,0,231.396,0,71.05102818,0,4.91,2763
76,TOC,11.69,76,714,1176,10.65856574,87,G7,11.69,26.95,40.632,0.93,38.1,80,71.14,0,0.614207764,2616.33,0,231.572,0,71.05102818,0,4.91,2764
76,TOC,11.69,76,715,1177,10.8817178,87,G7,11.69,25.8,40.651,0.93,38.1,80,69.96,0,0.604019892,2617.17,0,231.392,0,71.34044174,0,4.93,2765
76,TOC,11.69,76,715,1177,10.60648854,87,G7,11.69,25.61,40.656,0.94,38.2,80,71.93,0,0.621028457,2618.04,0,231.389,0,71.48514851,0,4.94,2766
76,TOC,11.69,76,715,1177,10.3655436,87,G7,11.69,26.26,40.667,0.94,38.3,80,73.31,0,0.632943086,2618.91,0,231.26,0,71.19573496,0,4.92,2767
76,TOC,11.69,76,713,1178,11.03743631,87,G7,11.69,27.02,40.667,0.93,38.4,80,68.55,0,0.591846249,2619.77,0,231.276,0,70.9063214,0,4.9,2768
76,TOC,11.69,76,713,1178,10.63879604,87,G7,11.69,27.16,40.677,0.92,38.4,80,71.27,0,0.615330156,2620.63,0,231.336,0,71.05102818,0,4.91,2769
76,TOC,11.69,76,714,1178,10.64699047,87,G7,11.69,26.58,40.689,0.92,38.5,80,71.36,0,0.616107197,2621.5,0,231.055,0,71.19573496,0,4.92,2770
76,TOC,11.69,76,716,1178,10.3363408,87,G7,11.69,26.4,40.705,0.91,38.6,80,73.36,0,0.633374776,2622.38,0,231.079,0,71.05102818,0,4.91,2771
76,TOC,11.69,76,712,1178,10.09580591,87,G7,11.69,26.42,40.71,0.92,38.6,80,75.27,0,0.649865313,2623.24,0,230.95,0,71.19573496,0,4.92,2772
76,TOC,11.69,76,710,1177,9.606699618,87,G7,11.69,26.37,40.705,0.92,38.6,79,79.76,0,0.688631026,2624.1,0,231.064,0,71.77456207,0,4.96,2773
76,TOC,11.69,76,713,1179,8.384359872,87,G7,11.69,27.05,40.714,0.91,38.7,80,91.25,0,0.787833264,2624.98,0,231.012,0,71.62985529,0,4.95,2774
76,TOC,11.69,76,714,1180,8.524135158,87,G7,11.69,25.85,40.707,0.91,38.7,80,90.11,0,0.777990745,2625.83,0,230.891,0,71.91926885,0,4.97,2775
