Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5322.2,11.2,4,4.8,2.79,33.37,268.065,6.51,66.45557341,26.64365137,0.193756819,6.707018395
5322.4,11.4,4.1,4.3,2.79,35.95,267.922,6.67,66.45557341,26.64365137,0.193756819,6.707018395
5322.6,11.6,4.1,2.7,2.81,33.97,268.065,6.61,66.45557341,26.64365137,0.193756819,6.707018395
5322.8,11.8,4.2,5.5,2.8,36.09,268.065,6.48,66.45557341,26.64365137,0.193756819,6.707018395
5323,12,4.3,4.3,2.8,36.28,268.065,6.54,67.63789744,24.48891354,0.15043269,7.722756326
5323.2,12.2,4.4,4.8,2.79,36.41,268.065,6.57,67.63789744,24.48891354,0.15043269,7.722756326
5323.4,12.4,4.4,4,2.79,37.21,268.065,6.64,67.63789744,24.48891354,0.15043269,7.722756326
5323.6,12.6,4.5,4.5,2.79,35.88,268.065,6.57,67.63789744,24.48891354,0.15043269,7.722756326
5323.8,12.8,4.6,4.1,2.79,37.34,268.065,6.63,67.63789744,24.48891354,0.15043269,7.722756326
5324,13,4.6,2.9,2.81,34.05,268.065,6.51,68.35209058,23.13806892,0.058157318,8.451683181
5324.2,13.2,4.7,5.2,2.8,37.52,268.065,6.54,68.35209058,23.13806892,0.058157318,8.451683181
5324.4,13.4,4.8,4,2.8,36.86,268.065,6.54,68.35209058,23.13806892,0.058157318,8.451683181
5324.6,13.6,4.9,4.3,2.8,35.88,268.065,6.5,68.35209058,23.13806892,0.058157318,8.451683181
5324.8,13.8,4.9,4.7,2.8,37.98,268.065,6.57,68.35209058,23.13806892,0.058157318,8.451683181
5325,14,5,3.9,2.8,35.44,268.065,6.65,64.2449772,27.37357263,0.157891984,8.223558183
5325.2,14.2,5.1,3.4,2.81,36.05,268.065,6.59,64.2449772,27.37357263,0.157891984,8.223558183
5325.4,14.4,5.1,4.9,2.8,36.56,267.922,6.54,64.2449772,27.37357263,0.157891984,8.223558183
5325.6,14.6,5.2,6.7,2.78,22.36,268.065,5.71,64.2449772,27.37357263,0.157891984,8.223558183
5325.8,14.8,5.4,7.1,2.76,26.57,268.065,6.21,64.2449772,27.37357263,0.157891984,8.223558183
5326,15,5.5,7.5,2.73,27.19,268.065,6.01,63.71100033,29.65459152,0.173883261,6.460524895
5326.2,15.2,5.6,5.5,2.72,22.12,268.065,5.94,63.71100033,29.65459152,0.173883261,6.460524895
